197,348,518
185,364,542
181,381,0
198,364,536
191,379,0
189,397,508
204,380,0
200,396,500
200,396,501
183,321,499
167,337,528
157,356,563
182,336,524
168,353,550
165,373,0
182,354,541
176,371,0
176,391,522
177,290,0
154,308,503
140,329,546
171,302,494
154,321,533
145,343,0
168,322,523
157,341,558
153,363,582
147,293,764
150,274,781
129,296,0
166,272,465
142,292,502
129,315,546
156,293,490
142,313,531
133,335,0
271,281,792
265,291,783
258,299,0
273,293,781
264,305,0
273,311,0
273,312,0
266,246,831
252,260,814
243,279,793
262,261,814
250,277,796
244,297,780
260,281,794
252,299,778
251,305,0
263,216,862
245,230,848
233,250,827
255,232,848
242,248,829
233,267,805
250,251,823
241,268,806
236,289,783
252,203,880
244,201,877
228,219,856
256,201,882
237,217,858
225,237,839
246,222,860
231,239,837
225,261,813
354,247,844
343,259,822
343,259,822
353,261,821
352,262,819
357,213,882
342,227,865
333,245,838
350,229,862
339,244,841
330,262,820
346,249,834
341,256,829
192,216,495
177,231,531
171,249,0
190,231,520
181,246,537
180,263,508
194,247,538
189,262,497
190,278,0
177,190,469
157,208,505
147,227,544
171,206,494
159,223,526
153,242,567
173,222,514
163,239,555
163,258,0
169,161,439
143,179,477
127,202,517
159,178,464
139,197,500
131,219,543
153,195,489
141,215,528
137,235,570
182,136,405
155,145,424
114,174,489
132,162,458
128,169,471
113,191,513
145,166,458
125,186,495
117,210,539
255,148,796
245,159,782
239,175,0
257,159,784
248,174,0
244,186,0
258,176,0
252,189,0
250,114,819
234,128,802
225,146,792
245,130,802
234,145,792
226,164,0
243,146,793
235,163,780
231,182,0
249,84,837
226,97,830
212,116,808
239,98,833
222,114,813
213,134,797
232,114,815
220,132,800
215,154,782
227,79,839
206,85,836
224,73,846
218,82,838
202,104,817
229,83,837
212,100,818
202,123,801
342,104,833
329,116,821
322,132,816
338,118,819
328,131,816
327,135,815
336,134,812
334,138,808
343,67,866
328,82,853
317,100,838
336,83,854
323,98,835
315,118,818
330,100,837
321,117,821
317,128,814
324,71,860
315,67,862
332,51,881
321,65,863
311,86,848
330,66,865
317,83,852
308,105,827
308,91,840
309,52,877
314,49,877
316,50,880
306,71,859
